,Symbol,Security,GICS Sector
287,LEN,Lennar,Consumer Discretionary
288,LLY,Eli Lilly & Co,Health Care
289,LNC,Lincoln National,Financials
290,LIN,Linde,Materials
291,LYV,Live Nation Entertainment,Communication Services
292,LKQ,LKQ Corporation,Consumer Discretionary
293,LMT,Lockheed Martin,Industrials
294,L,Loews Corporation,Financials
295,LOW,Lowe's,Consumer Discretionary
296,LUMN,Lumen Technologies,Communication Services
297,LYB,LyondellBasell,Materials
298,MTB,M&T Bank,Financials
299,MRO,Marathon Oil,Energy
300,MPC,Marathon Petroleum,Energy
301,MKTX,MarketAxess,Financials
302,MAR,Marriott International,Consumer Discretionary
303,MMC,Marsh & McLennan,Financials
304,MLM,Martin Marietta Materials,Materials
305,MAS,Masco,Industrials
306,MA,Mastercard,Information Technology
307,MTCH,Match Group,Communication Services
308,MKC,McCormick & Company,Consumer Staples
309,MCD,McDonald's,Consumer Discretionary
310,MCK,McKesson Corporation,Health Care
311,MDT,Medtronic,Health Care
312,MRK,Merck & Co.,Health Care
313,MET,MetLife,Financials
314,MTD,Mettler Toledo,Health Care
315,MGM,MGM Resorts International,Consumer Discretionary
316,MCHP,Microchip Technology,Information Technology
317,MU,Micron Technology,Information Technology
318,MSFT,Microsoft,Information Technology
319,MAA,Mid-America Apartments,Real Estate
320,MRNA,Moderna,Health Care
321,MHK,Mohawk Industries,Consumer Discretionary
322,TAP,Molson Coors Beverage Company,Consumer Staples
323,MDLZ,Mondelez International,Consumer Staples
324,MPWR,Monolithic Power Systems,Information Technology
325,MNST,Monster Beverage,Consumer Staples
326,MCO,Moody's Corporation,Financials
327,MS,Morgan Stanley,Financials
328,MOS,The Mosaic Company,Materials
329,MSI,Motorola Solutions,Information Technology
330,MSCI,MSCI,Financials
331,NDAQ,Nasdaq,Financials
332,NTAP,NetApp,Information Technology
333,NFLX,Netflix,Communication Services
334,NWL,Newell Brands,Consumer Discretionary
335,NEM,Newmont,Materials
336,NWSA,News Corp (Class A),Communication Services
337,NWS,News Corp (Class B),Communication Services
338,NEE,NextEra Energy,Utilities
339,NLSN,Nielsen Holdings,Industrials
340,NKE,Nike,Consumer Discretionary
341,NI,NiSource,Utilities
342,NSC,Norfolk Southern,Industrials
343,NTRS,Northern Trust,Financials
344,NOC,Northrop Grumman,Industrials
345,NLOK,NortonLifeLock,Information Technology
346,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary
347,NRG,NRG Energy,Utilities
348,NUE,Nucor,Materials
349,NVDA,Nvidia,Information Technology
350,NVR,NVR,Consumer Discretionary
351,NXPI,NXP,Information Technology
352,ORLY,O'Reilly Automotive,Consumer Discretionary
353,OXY,Occidental Petroleum,Energy
354,ODFL,Old Dominion Freight Line,Industrials
355,OMC,Omnicom Group,Communication Services
356,OKE,Oneok,Energy
357,ORCL,Oracle,Information Technology
358,OGN,Organon & Co.,Health Care
359,OTIS,Otis Worldwide,Industrials
360,PCAR,Paccar,Industrials
361,PKG,Packaging Corporation of America,Materials
362,PH,Parker-Hannifin,Industrials
363,PAYX,Paychex,Information Technology
364,PAYC,Paycom,Information Technology
365,PYPL,PayPal,Information Technology
366,PENN,Penn National Gaming,Consumer Discretionary
367,PNR,Pentair,Industrials
368,PBCT,People's United Financial,Financials
369,PEP,PepsiCo,Consumer Staples
370,PKI,PerkinElmer,Health Care
371,PFE,Pfizer,Health Care
372,PM,Philip Morris International,Consumer Staples
373,PSX,Phillips 66,Energy
374,PNW,Pinnacle West Capital,Utilities
375,PXD,Pioneer Natural Resources,Energy
376,PNC,PNC Financial Services,Financials
377,POOL,Pool Corporation,Consumer Discretionary
378,PPG,PPG Industries,Materials
379,PPL,PPL,Utilities
380,PFG,Principal Financial Group,Financials
381,PG,Procter & Gamble,Consumer Staples
382,PGR,Progressive Corporation,Financials
383,PLD,Prologis,Real Estate
384,PRU,Prudential Financial,Financials
385,PTC,PTC,Information Technology
386,PEG,Public Service Enterprise Group,Utilities
387,PSA,Public Storage,Real Estate
388,PHM,PulteGroup,Consumer Discretionary
389,PVH,PVH,Consumer Discretionary
390,QRVO,Qorvo,Information Technology
391,PWR,Quanta Services,Industrials
392,QCOM,Qualcomm,Information Technology
393,DGX,Quest Diagnostics,Health Care
394,RL,Ralph Lauren Corporation,Consumer Discretionary
395,RJF,Raymond James Financial,Financials
396,RTX,Raytheon Technologies,Industrials
397,O,Realty Income Corporation,Real Estate
398,REG,Regency Centers,Real Estate
399,REGN,Regeneron Pharmaceuticals,Health Care
400,RF,Regions Financial Corporation,Financials
401,RSG,Republic Services,Industrials
402,RMD,ResMed,Health Care
403,RHI,Robert Half International,Industrials
404,ROK,Rockwell Automation,Industrials
405,ROL,Rollins,Industrials
406,ROP,Roper Technologies,Industrials
407,ROST,Ross Stores,Consumer Discretionary
408,RCL,Royal Caribbean Group,Consumer Discretionary
409,SPGI,S&P Global,Financials
410,CRM,Salesforce,Information Technology
411,SBAC,SBA Communications,Real Estate
412,SLB,Schlumberger,Energy
413,STX,Seagate Technology,Information Technology
414,SEE,Sealed Air,Materials
415,SRE,Sempra Energy,Utilities
416,NOW,ServiceNow,Information Technology
417,SHW,Sherwin-Williams,Materials
418,SPG,Simon Property Group,Real Estate
419,SWKS,Skyworks Solutions,Information Technology
420,SNA,Snap-on,Industrials
421,SO,Southern Company,Utilities
422,LUV,Southwest Airlines,Industrials
423,SWK,Stanley Black & Decker,Industrials
424,SBUX,Starbucks,Consumer Discretionary
425,STT,State Street Corporation,Financials
426,STE,Steris,Health Care
427,SYK,Stryker Corporation,Health Care
428,SIVB,SVB Financial,Financials
429,SYF,Synchrony Financial,Financials
430,SNPS,Synopsys,Information Technology
431,SYY,Sysco,Consumer Staples
432,TMUS,T-Mobile US,Communication Services
433,TROW,T. Rowe Price,Financials
434,TTWO,Take-Two Interactive,Communication Services
435,TPR,Tapestry,Consumer Discretionary
436,TGT,Target Corporation,Consumer Discretionary
437,TEL,TE Connectivity,Information Technology
438,TDY,Teledyne Technologies,Industrials
439,TFX,Teleflex,Health Care
440,TER,Teradyne,Information Technology
441,TSLA,Tesla,Consumer Discretionary
442,TXN,Texas Instruments,Information Technology
443,TXT,Textron,Industrials
444,TMO,Thermo Fisher Scientific,Health Care
445,TJX,TJX Companies,Consumer Discretionary
446,TSCO,Tractor Supply Company,Consumer Discretionary
447,TT,Trane Technologies,Industrials
448,TDG,TransDigm Group,Industrials
449,TRV,The Travelers Companies,Financials
450,TRMB,Trimble,Information Technology
